BLOCK	0	10	1	4	0
BLOCK	0	10	2	9	15
BLOCK	0	10	3	15	12
BLOCK	0	10	4	18	10
BLOCK	0	10	5	22	11
BLOCK	0	10	6	26	6
BLOCK	0	10	7	30	6
BLOCK	0	10	8	32	9
BLOCK	0	10	9	36	7
BLOCK	0	10	10	39	7
BLOCK	0	10	11	43	7
BLOCK	0	10	12	46	8
BLOCK	0	10	13	50	6
BLOCK	0	10	14	52	6
BLOCK	0	10	15	54	7
BLOCK	0	10	16	61	10
BLOCK	0	10	17	63	9
BLOCK	0	10	18	65	5
BLOCK	0	10	19	67	6
BLOCK	0	10	20	70	9
BLOCK	0	10	21	74	15
BLOCK	0	10	22	78	5
BLOCK	0	10	23	85	9
BLOCK	0	10	24	90	7
BLOCK	0	10	25	92	8
BLOCK	0	10	26	96	7
BLOCK	0	10	27	100	5
BLOCK	0	10	28	107	14
BLOCK	0	10	29	109	6
BLOCK	0	10	30	112	5
BLOCK	0	10	31	115	10
BLOCK	0	10	32	122	7
BLOCK	0	10	33	126	6
BLOCK	0	10	34	128	5
BLOCK	0	10	35	132	6
BLOCK	0	10	36	133	4
BLOCK	0	10	37	136	5
BLOCK	0	10	38	141	11
BLOCK	0	10	39	146	7
BLOCK	0	10	40	152	8
BLOCK	0	10	41	156	6
BLOCK	0	10	42	158	5
BLOCK	0	10	43	161	6
BLOCK	0	10	44	166	7
BLOCK	0	10	45	171	6
BLOCK	0	10	46	173	5
BLOCK	0	10	47	178	10
BLOCK	0	10	48	184	7
BLOCK	0	10	49	188	6
BLOCK	0	10	50	190	4
BLOCK	0	10	51	197	14
BLOCK	0	10	52	203	6
BLOCK	0	10	53	209	8
BLOCK	0	10	54	212	5
BLOCK	0	10	55	214	4
BLOCK	0	10	56	217	5
BLOCK	0	10	57	223	8
BLOCK	0	10	58	227	5
BLOCK	0	10	59	232	10
BLOCK	0	10	60	236	5
BLOCK	0	10	61	240	5
BLOCK	0	10	62	241	5
BLOCK	0	10	63	245	7
BLOCK	0	10	64	250	6
BLOCK	0	10	65	253	7
BLOCK	0	10	66	255	5
BLOCK	0	10	67	259	6
BLOCK	0	10	68	262	5
