VALIDATION	0	100	136	5453	8075
VALIDATION	0	100	137	5489	6979
VALIDATION	0	100	138	5528	7430
VALIDATION	0	100	139	5570	7697
VALIDATION	0	100	140	5616	7227
VALIDATION	0	100	141	5657	7725
VALIDATION	0	100	142	5702	7010
VALIDATION	0	100	143	5744	7582
VALIDATION	0	100	144	5784	8736
VALIDATION	0	100	145	5825	8389
VALIDATION	0	100	146	5864	7611
VALIDATION	0	100	147	5898	7218
VALIDATION	0	100	148	5938	7339
VALIDATION	0	100	149	5975	12087
VALIDATION	0	100	150	6029	7578
VALIDATION	0	100	151	6070	8567
VALIDATION	0	100	152	6113	8945
VALIDATION	0	100	153	6152	10077
VALIDATION	0	100	154	6188	8644
VALIDATION	0	100	155	6233	10841
VALIDATION	0	100	156	6273	8455
VALIDATION	0	100	157	6301	8621
VALIDATION	0	100	158	6340	12195
VALIDATION	0	100	159	6387	9130
VALIDATION	0	100	160	6420	8675
VALIDATION	0	100	161	6459	8557
VALIDATION	0	100	162	6494	10083
VALIDATION	0	100	163	6527	9800
VALIDATION	0	100	164	6566	8210
VALIDATION	0	100	165	6597	8291
VALIDATION	0	100	166	6637	8784
VALIDATION	0	100	167	6676	8420
VALIDATION	0	100	168	6714	8640
VALIDATION	0	100	169	6752	8515
VALIDATION	0	100	170	6797	8389
VALIDATION	0	100	171	6839	8821
VALIDATION	0	100	172	6883	12352
VALIDATION	0	100	173	6925	10024
VALIDATION	0	100	174	6958	9634
VALIDATION	0	100	175	7004	9683
VALIDATION	0	100	176	7036	9865
VALIDATION	0	100	177	7076	9825
VALIDATION	0	100	178	7118	9185
VALIDATION	0	100	179	7165	10193
VALIDATION	0	100	180	7207	9630
VALIDATION	0	100	181	7247	9995
VALIDATION	0	100	182	7283	9878
VALIDATION	0	100	183	7325	9940
VALIDATION	0	100	184	7367	9801
VALIDATION	0	100	185	7409	11115
VALIDATION	0	100	186	7442	12436
VALIDATION	0	100	187	7491	9901
VALIDATION	0	100	188	7534	10266
VALIDATION	0	100	189	7579	10843
VALIDATION	0	100	190	7622	9766
VALIDATION	0	100	191	7663	12887
VALIDATION	0	100	192	7698	10185
VALIDATION	0	100	193	7734	12232
VALIDATION	0	100	194	7762	10324
VALIDATION	0	100	195	7801	14607
VALIDATION	0	100	196	7841	11746
VALIDATION	0	100	197	7881	17521
VALIDATION	0	100	198	7918	13384
VALIDATION	0	100	199	7957	13603
VALIDATION	0	100	200	7992	10270
VALIDATION	0	100	201	8034	10909
VALIDATION	0	100	202	8057	10889
VALIDATION	0	100	203	8092	10309
VALIDATION	0	100	204	8137	11909
VALIDATION	0	100	205	8175	12479
VALIDATION	0	100	206	8216	11564
VALIDATION	0	100	207	8250	13657
VALIDATION	0	100	208	8291	11869
VALIDATION	0	100	209	8325	12769
VALIDATION	0	100	210	8358	13554
VALIDATION	0	100	211	8392	12864
VALIDATION	0	100	212	8427	11580
VALIDATION	0	100	213	8469	11360
VALIDATION	0	100	214	8513	11144
VALIDATION	0	100	215	8552	11646
VALIDATION	0	100	216	8602	12897
VALIDATION	0	100	217	8644	11932
VALIDATION	0	100	218	8686	12252
